x,y,u,v
10.028,-20,1.0079,-0.0054866
10.077,-20,1.0079,-0.0054739
10.126,-20,1.0079,-0.0054612
10.175,-20,1.0079,-0.0054484
10.224,-20,1.0079,-0.0054357
10.273,-20,1.0079,-0.0054229
10.323,-20,1.008,-0.0054101
10.372,-20,1.008,-0.0053972
10.421,-20,1.008,-0.0053844
10.471,-20,1.008,-0.0053715
10.52,-20,1.008,-0.0053586
10.57,-20,1.008,-0.0053458
10.62,-20,1.008,-0.0053328
10.67,-20,1.008,-0.0053199
10.72,-20,1.008,-0.005307
10.77,-20,1.008,-0.005294
10.82,-20,1.0081,-0.005281
10.87,-20,1.0081,-0.005268
10.92,-20,1.0081,-0.005255
10.97,-20,1.0081,-0.005242
11.021,-20,1.0081,-0.005229
11.071,-20,1.0081,-0.0052159
11.122,-20,1.0081,-0.0052029
11.173,-20,1.0081,-0.0051898
11.223,-20,1.0081,-0.0051767
11.274,-20,1.0081,-0.0051636
11.325,-20,1.0081,-0.0051505
11.376,-20,1.0082,-0.0051374
11.427,-20,1.0082,-0.0051243
11.479,-20,1.0082,-0.0051111
11.53,-20,1.0082,-0.005098
11.581,-20,1.0082,-0.0050848
11.633,-20,1.0082,-0.0050716
11.685,-20,1.0082,-0.0050584
11.736,-20,1.0082,-0.0050452
11.788,-20,1.0082,-0.005032
11.84,-20,1.0082,-0.0050188
11.892,-20,1.0082,-0.0050055
11.944,-20,1.0083,-0.0049923
11.996,-20,1.0083,-0.004979
12.048,-20,1.0083,-0.0049658
12.101,-20,1.0083,-0.0049525
12.153,-20,1.0083,-0.0049392
12.205,-20,1.0083,-0.0049259
12.258,-20,1.0083,-0.0049126
12.311,-20,1.0083,-0.0048993
12.364,-20,1.0083,-0.004886
12.416,-20,1.0083,-0.0048726
12.469,-20,1.0083,-0.0048593
12.523,-20,1.0083,-0.0048459
12.576,-20,1.0083,-0.0048326
12.629,-20,1.0084,-0.0048192
12.682,-20,1.0084,-0.0048058
12.736,-20,1.0084,-0.0047924
12.789,-20,1.0084,-0.0047791
12.843,-20,1.0084,-0.0047657
12.897,-20,1.0084,-0.0047522
12.951,-20,1.0084,-0.0047388
13.005,-20,1.0084,-0.0047254
13.059,-20,1.0084,-0.004712
13.113,-20,1.0084,-0.0046986
13.167,-20,1.0084,-0.0046851
13.221,-20,1.0084,-0.0046717
13.276,-20,1.0084,-0.0046582
13.33,-20,1.0084,-0.0046448
13.385,-20,1.0084,-0.0046313
13.44,-20,1.0085,-0.0046179
13.495,-20,1.0085,-0.0046044
13.55,-20,1.0085,-0.004591
13.605,-20,1.0085,-0.0045775
13.66,-20,1.0085,-0.004564
13.715,-20,1.0085,-0.0045506
13.771,-20,1.0085,-0.0045371
13.826,-20,1.0085,-0.0045236
13.882,-20,1.0085,-0.0045101
13.937,-20,1.0085,-0.0044967
13.993,-20,1.0085,-0.0044832
14.049,-20,1.0085,-0.0044697
14.105,-20,1.0085,-0.0044563
14.161,-20,1.0085,-0.0044428
14.217,-20,1.0085,-0.0044293
14.274,-20,1.0085,-0.0044158
14.33,-20,1.0085,-0.0044024
14.387,-20,1.0086,-0.0043889
14.443,-20,1.0086,-0.0043754
14.5,-20,1.0086,-0.004362
14.557,-20,1.0086,-0.0043485
14.614,-20,1.0086,-0.004335
14.671,-20,1.0086,-0.0043216
14.728,-20,1.0086,-0.0043081
14.785,-20,1.0086,-0.0042947
14.843,-20,1.0086,-0.0042812
14.9,-20,1.0086,-0.0042677
14.958,-20,1.0086,-0.0042543
15.016,-20,1.0086,-0.0042408
15.073,-20,1.0086,-0.0042274
15.131,-20,1.0086,-0.004214
15.189,-20,1.0086,-0.0042005
15.247,-20,1.0086,-0.0041871
15.306,-20,1.0086,-0.0041737
15.364,-20,1.0086,-0.0041602
15.423,-20,1.0086,-0.0041468
15.481,-20,1.0086,-0.0041334
15.54,-20,1.0086,-0.00412
15.599,-20,1.0086,-0.0041066
15.658,-20,1.0086,-0.0040932
15.717,-20,1.0087,-0.0040798
15.776,-20,1.0087,-0.0040664
15.835,-20,1.0087,-0.004053
15.895,-20,1.0087,-0.0040396
15.954,-20,1.0087,-0.0040262
16.014,-20,1.0087,-0.0040129
